Word,WordType,Response,Correct,ResponseTime
PAUCA,Nonword,y,0,1.0516410419950262
PRISA,Real,y,1,0.6908798749791458
ALFOMBRA,Real,y,1,0.8050132499774918
CAPILLO,Nonword,y,0,0.7443405000376515
FRONDOSO,Real,n,0,0.748291416966822
ESCUTO,Nonword,y,0,0.785011125029996
ORGULLOSO,Real,y,1,0.7622821669792756
SEDA,Real,n,0,0.509578125027474
HORMIGA,Real,n,0,0.6825774999451824
HACHA,Real,n,0,0.5774479170213453
CINTRO,Nonword,n,1,0.7683910000487231
FLAMIDA,Nonword,n,1,0.7624979169922881
AVISO,Real,y,1,0.5547888749861158
ARSA,Nonword,n,1,0.6364343340392224
BIZCOCHO,Real,n,0,0.700277416035533
TACAÑO,Real,n,0,1.4489983330131508
BRECEDAD,Nonword,n,1,1.8768898340058513
TIBURÓN,Real,y,1,1.1904211249784566
LAMPERA,Nonword,n,1,1.8464311670395546
PANDILLA,Real,y,1,1.3767575000529177
CLAVEL,Real,n,0,0.6622906249831431
ENGATUSAR,Real,n,0,1.0040793329826556
GRANUJA,Real,y,1,1.9579727910459042
POZO,Real,n,0,1.1367432909901254
CAMISA,Real,n,0,0.9147350419661961
ATAR,Real,n,0,0.9156532909837551
LACAYO,Real,n,0,0.8996773749822751
NEVAR,Real,y,1,1.9662735830061138
BESAR,Real,n,0,0.652598750020843
ESTORNUDAR,Real,n,0,0.8071084579569288
ABRACER,Nonword,n,1,1.0729353330098093
CADEÑA,Nonword,y,0,1.0250324590015225
POLVORIENTO,Real,n,0,1.982234708033502
MUSGO,Real,n,0,1.7844448749674484
ACUTACIÓN,Nonword,n,1,1.9374072910286486
CANELA,Real,n,0,1.415073374984786
ESPOSANTE,Nonword,n,1,1.548842334013898
CANDADO,Real,y,1,1.1693687919760123
ZAPATO,Real,y,1,1.0324428330059163
HACIDO,Nonword,y,0,1.0870127499802038
GRODO,Nonword,n,1,0.678179457958322
SECUESTRO,Real,y,1,1.2472430830239318
ROMPIDO,Nonword,n,1,2.9491770419990644
LADRÓN,Real,y,1,0.7961622920120135
CARTINAR,Nonword,n,1,0.948807124979794
PLAUDIR,Nonword,n,1,0.6846735419821925
EMPIRADOR,Nonword,n,1,0.8720254579675384
REGAR,Real,n,0,1.8135241669951938
PEMICIÓN,Nonword,n,1,1.17076333303703
FLACO,Real,n,0,0.7120822499855421
LAUD,Real,n,0,0.904727625020314
HELAR,Real,y,1,1.1299436249537393
GANAR,Real,n,0,0.5926999159855768
MARTILLO,Real,y,1,0.8642780410009436
YUNQUE,Real,n,0,0.6979022080195136
TERGIVERSAR,Real,y,1,1.2649851669557393
ACANTILADO,Real,y,1,1.0828290419885889
PÉSIMO,Real,y,1,0.9792784170131199
ANTAR,Nonword,y,0,0.7424492499558255
DECAR,Nonword,y,0,1.196345625037793
FATACIDAD,Nonword,n,1,1.9478404159890488
LÁTIGO,Real,y,1,0.8828392919967882
TEMBLO,Nonword,n,1,0.753157667000778
ALARDIO,Nonword,n,1,0.8840925840195268
BARATO,Real,n,0,1.4659227090305649
GUANTE,Real,n,0,1.4990345829864964
PULMONES,Real,y,1,1.107645332987886
MERODEAR,Real,y,1,1.9543392499908805
BISAGRA,Real,n,0,0.8945199999725446
REBUSCAR,Real,n,0,0.8468457919661887
CUCHARA,Real,y,1,0.8316496670013294
YACER,Real,n,0,0.6600391669780947
ASESINATO,Real,n,0,1.0153689999715425
FOMENTAR,Real,n,0,0.677952624973841
PELLIZCAR,Real,y,1,1.1077200829749927
TROPAJE,Nonword,n,1,1.262888707977254
VEGADA,Nonword,n,1,0.6813527080230415
FLOROSO,Nonword,n,1,0.756491707987152
TERZO,Nonword,n,1,0.7684370409697294
ÁVIDO,Real,y,1,0.8814494580146857
BATILLÓN,Nonword,y,0,0.8407627919805236
CADALLO,Nonword,y,0,1.7081627500010654
CABELLO,Real,y,1,0.8180461659794673
LORO,Real,y,1,1.00405570800649
CANEFA,Real,n,0,0.7282801250112243
HERVIDOR,Real,y,1,1.147583374986425
JILGUERO,Real,n,0,0.7669390829978511
MATAR,Real,n,0,0.9246799999964423
TORPE,Real,n,0,0.643114875012543
ALEGRE,Real,y,1,1.1298275840235874
