Word,WordType,Response,Correct,ResponseTime
ACUTACIÓN,Nonword,n,1,1.2684801
CAMISA,Real,n,0,1.491734
REBUSCAR,Real,n,0,1.3291741
MUSGO,Real,n,0,1.3975303
MATAR,Real,y,1,0.5545252
PÉSIMO,Real,y,1,0.6048984
GANAR,Real,n,0,0.9483496
EMPIRADOR,Nonword,y,0,0.4256259
JILGUERO,Real,y,1,1.3096584
BIZCOCHO,Real,n,0,0.8287564
POLVORIENTO,Real,n,0,1.5784688
BISAGRA,Real,y,1,1.1584917
ÁVIDO,Real,y,1,0.4453419
SEDA,Real,y,1,0.5016464
PRISA,Real,y,1,0.4945585
LAMPERA,Nonword,y,0,0.6402869
SECUESTRO,Real,y,1,0.5508854
REGAR,Real,y,1,0.8153946
DECAR,Nonword,n,1,1.3747237
ALEGRE,Real,y,1,0.9702697
HERVIDOR,Real,y,1,0.6462164
POZO,Real,y,1,0.7713513
NEVAR,Real,y,1,0.5348487
CARTINAR,Nonword,y,0,0.5400259
ASESINATO,Real,y,1,0.6054359
CADEÑA,Nonword,y,0,0.7004874
ESCUTO,Nonword,y,0,0.7938787
GUANTE,Real,y,1,1.2145264
PEMICIÓN,Nonword,n,1,0.9013173
YACER,Real,n,0,0.8171463
ESTORNUDAR,Real,y,1,0.6693019
LACAYO,Real,y,1,2.3975212
BATILLÓN,Nonword,n,1,1.005063
TERZO,Nonword,y,0,0.550415
FLAMIDA,Nonword,y,0,1.164925
CADALLO,Nonword,y,0,0.6219279
FOMENTAR,Real,n,0,1.7117144
ABRACER,Nonword,y,0,0.7102703
PLAUDIR,Nonword,y,0,0.6993066
CUCHARA,Real,y,1,1.1460265
VEGADA,Nonword,y,0,0.8303743
PULMONES,Real,n,0,0.9508097
LAUD,Real,n,0,1.0228431
MARTILLO,Real,y,1,0.8625802
MERODEAR,Real,y,1,0.6270391
ZAPATO,Real,n,0,2.4468103
CANEFA,Real,n,0,1.0639545
HACHA,Real,y,1,0.6698277
LÁTIGO,Real,y,1,0.55591
LADRÓN,Real,y,1,0.5088764
LORO,Real,n,0,0.7166888
HORMIGA,Real,n,0,0.943157
ALFOMBRA,Real,n,0,0.6811031
ACANTILADO,Real,y,1,0.50089
FLOROSO,Nonword,n,1,0.8712733
TERGIVERSAR,Real,y,1,0.6787886
CLAVEL,Real,n,0,0.7722532
TACAÑO,Real,y,1,0.6767749
CANELA,Real,n,0,0.9578807
TIBURÓN,Real,n,0,0.8297874
ROMPIDO,Nonword,n,1,0.567801
BESAR,Real,n,0,0.853966
ALARDIO,Nonword,y,0,0.5191998
CABELLO,Real,n,0,0.6291619
BRECEDAD,Nonword,n,1,1.1027711
TEMBLO,Nonword,y,0,0.6869619
ANTAR,Nonword,y,0,0.8263029
ENGATUSAR,Real,y,1,0.6056611
PELLIZCAR,Real,y,1,0.6976612
HELAR,Real,n,0,0.7038649
TROPAJE,Nonword,n,1,1.0460757
FRONDOSO,Real,y,1,0.7629126
ESPOSANTE,Nonword,y,0,0.5026667
BARATO,Real,y,1,0.8284384
CANDADO,Real,y,1,0.9181535
AVISO,Real,y,1,0.5502345
CINTRO,Nonword,n,1,0.7662416
GRODO,Nonword,n,1,1.0306351
GRANUJA,Real,y,1,1.6338904
ORGULLOSO,Real,y,1,0.6374071
PANDILLA,Real,y,1,0.7680822
YUNQUE,Real,n,0,0.5823635
FATACIDAD,Nonword,y,0,0.8254765
FLACO,Real,y,1,0.4703928
CAPILLO,Nonword,y,0,0.4895687
ATAR,Real,n,0,2.2291316
PAUCA,Nonword,y,0,1.2499504
TORPE,Real,y,1,0.777855
HACIDO,Nonword,y,0,0.7551067
ARSA,Nonword,y,0,0.6387668
